new_id,item_id,title,year,query,image
1,3186,"Girl, Interrupted",1999,https://www.omdbapi.com/?apikey=437defe6&t=Girl%2C+Interrupted&y=1999,https://m.media-amazon.com/images/M/MV5BNzdjZDYwM2QtMGNlZS00MGQzLTlhMjctYTU4NWI5MWJlYmQwXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
2,1270,Back to the Future,1985,https://www.omdbapi.com/?apikey=437defe6&t=Back+to+the+Future&y=1985,https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
3,1721,Titanic,1997,https://www.omdbapi.com/?apikey=437defe6&t=Titanic&y=1997,https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
4,1022,Cinderella,1950,https://www.omdbapi.com/?apikey=437defe6&t=Cinderella&y=1950,https://m.media-amazon.com/images/M/MV5BMWE3NzMxZTYtZTUyYi00ZTMzLTg2MzEtZjg0NGM3ZDJjZDg2XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg
5,2340,Meet Joe Black,1998,https://www.omdbapi.com/?apikey=437defe6&t=Meet+Joe+Black&y=1998,https://m.media-amazon.com/images/M/MV5BNTc0MzRmMTgtMTk4OS00MzdkLWJjNWMtZWJmZjlkYTI0YWRiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
6,1836,The Last Days of Disco,1998,https://www.omdbapi.com/?apikey=437defe6&t=The+Last+Days+of+Disco&y=1998,https://m.media-amazon.com/images/M/MV5BNjZmYzFkZTAtMTM5Ni00OGVkLWI4YmEtNzM4NTAyYmJhMzcyXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg
7,3408,Erin Brockovich,2000,https://www.omdbapi.com/?apikey=437defe6&t=Erin+Brockovich&y=2000,https://m.media-amazon.com/images/M/MV5BYTA1NWRkNTktNDMxNS00NjE4LWEzMDAtNzA3YzlhYzRhNDA4L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
8,2804,A Christmas Story,1983,https://www.omdbapi.com/?apikey=437defe6&t=A+Christmas+Story&y=1983,https://m.media-amazon.com/images/M/MV5BOWMyNjE0MzEtMzVjNy00NjIxLTg0ZjMtMWJhNGI1YmVjYTczL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
9,1207,To Kill a Mockingbird,1962,https://www.omdbapi.com/?apikey=437defe6&t=To+Kill+a+Mockingbird&y=1962,https://m.media-amazon.com/images/M/MV5BNmVmYzcwNzMtMWM1NS00MWIyLThlMDEtYzUwZDgzODE1NmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
10,1193,One Flew Over the Cuckoo's Nest,1975,https://www.omdbapi.com/?apikey=437defe6&t=One+Flew+Over+the+Cuckoo%27s+Nest&y=1975,https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
11,720,Wallace & Gromit: The Best of Aardman Animation,1996,https://www.omdbapi.com/?apikey=437defe6&t=Wallace+%26+Gromit%3A+The+Best+of+Aardman+Animation&y=1996,https://m.media-amazon.com/images/M/MV5BMTUyNDMxOTIxOF5BMl5BanBnXkFtZTcwODA1NTcyMQ@@._V1_SX300.jpg
12,260,Star Wars: Episode IV - A New Hope,1977,https://www.omdbapi.com/?apikey=437defe6&t=Star+Wars%3A+Episode+IV+-+A+New+Hope&y=1977,https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
13,919,The Wizard of Oz,1939,https://www.omdbapi.com/?apikey=437defe6&t=The+Wizard+of+Oz&y=1939,https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_SX300.jpg
14,608,Fargo,1996,https://www.omdbapi.com/?apikey=437defe6&t=Fargo&y=1996,https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
15,2692,Run Lola Run,1998,https://www.omdbapi.com/?apikey=3e0ee9be&t=Run+Lola+Run&y=1998,https://m.media-amazon.com/images/M/MV5BMmU5ZjFmYjQtYmNjZC00Yjk4LWI1ZTQtZDJiMjM0YjQyNDU0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
16,1961,Rain Man,1988,https://www.omdbapi.com/?apikey=437defe6&t=Rain+Man&y=1988,https://m.media-amazon.com/images/M/MV5BMzVjNzI4NzYtMjE4NS00M2IzLWFkOWMtOTYwMWUzN2ZlNGVjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
17,2028,Saving Private Ryan,1998,https://www.omdbapi.com/?apikey=437defe6&t=Saving+Private+Ryan&y=1998,https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg
18,3105,Awakenings,1990,https://www.omdbapi.com/?apikey=437defe6&t=Awakenings&y=1990,https://m.media-amazon.com/images/M/MV5BMjI5NjEzMDYyMl5BMl5BanBnXkFtZTgwNjgwNTg4NjE@._V1_SX300.jpg
19,938,Gigi,1958,https://www.omdbapi.com/?apikey=437defe6&t=Gigi&y=1958,https://m.media-amazon.com/images/M/MV5BMWIzNzlkMWUtY2VhYy00NWMwLTg3MWUtZWY4ODZjMjBiMmM1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
20,1035,The Sound of Music,1965,https://www.omdbapi.com/?apikey=437defe6&t=The+Sound+of+Music&y=1965,https://m.media-amazon.com/images/M/MV5BODIxNjhkYjEtYzUyMi00YTNjLWE1YjktNjAyY2I2MWNkNmNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
21,1962,Driving Miss Daisy,1989,https://www.omdbapi.com/?apikey=437defe6&t=Driving+Miss+Daisy&y=1989,https://m.media-amazon.com/images/M/MV5BMDE2ZTY3YmUtZTFhYy00ZmU2LWI2NjktY2NmZGZlYjg5OGMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
22,2018,Bambi,1942,https://www.omdbapi.com/?apikey=437defe6&t=Bambi&y=1942,https://m.media-amazon.com/images/M/MV5BMTY1NzM4NDg5MV5BMl5BanBnXkFtZTgwMjI1MTkzMjE@._V1_SX300.jpg
23,150,Apollo 13,1995,https://www.omdbapi.com/?apikey=437defe6&t=Apollo+13&y=1995,https://m.media-amazon.com/images/M/MV5BNjEzYjJmNzgtNDkwNy00MTQ4LTlmMWMtNzA4YjE2NjI0ZDg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
24,1028,Mary Poppins,1964,https://www.omdbapi.com/?apikey=437defe6&t=Mary+Poppins&y=1964,https://m.media-amazon.com/images/M/MV5BNmJkODczNjItNDI5Yy00MGI1LTkyOWItZDNmNjM4ZGI1ZDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
25,1097,E.T. the Extra-Terrestrial,1982,https://www.omdbapi.com/?apikey=437defe6&t=E.T.+the+Extra-Terrestrial&y=1982,https://m.media-amazon.com/images/M/MV5BMTQ2ODFlMDAtNzdhOC00ZDYzLWE3YTMtNDU4ZGFmZmJmYTczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
26,914,My Fair Lady,1964,https://www.omdbapi.com/?apikey=437defe6&t=My+Fair+Lady&y=1964,https://m.media-amazon.com/images/M/MV5BNGM0ZTU3NmItZmRmMy00YWNjLWEzMWItYzg3MzcwZmM5NjdiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg
27,1287,Ben-Hur,1959,https://www.omdbapi.com/?apikey=437defe6&t=Ben-Hur&y=1959,https://m.media-amazon.com/images/M/MV5BNjgxY2JiZDYtZmMwOC00ZmJjLWJmODUtMTNmNWNmYWI5ODkwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
28,2797,Big,1988,https://www.omdbapi.com/?apikey=437defe6&t=Big&y=1988,https://m.media-amazon.com/images/M/MV5BMDQ1ODM5MTMtMjAwYi00ZGUxLTliNTMtN2ZhODAwMjVhMTRlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
29,2762,The Sixth Sense,1999,https://www.omdbapi.com/?apikey=437defe6&t=The+Sixth+Sense&y=1999,https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
30,1246,Dead Poets Society,1989,https://www.omdbapi.com/?apikey=437defe6&t=Dead+Poets+Society&y=1989,https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
31,661,James and the Giant Peach,1996,https://www.omdbapi.com/?apikey=437defe6&t=James+and+the+Giant+Peach&y=1996,https://m.media-amazon.com/images/M/MV5BMTNkNWIwNGUtNTJlOC00NDU3LTk0NWEtNjNjNDM4NzRiNThkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
32,2918,Ferris Bueller's Day Off,1986,https://www.omdbapi.com/?apikey=437defe6&t=Ferris+Bueller%27s+Day+Off&y=1986,https://m.media-amazon.com/images/M/MV5BMDA0NjZhZWUtNmI2NC00MmFjLTgwZDYtYzVjZmNhMDVmOTBkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
33,531,The Secret Garden,1993,https://www.omdbapi.com/?apikey=437defe6&t=The+Secret+Garden&y=1993,https://m.media-amazon.com/images/M/MV5BM2Y0NThmNDItYWY2Yi00YjYyLTgyNDYtODM5NjdlNWJjMDhhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
34,3114,Toy Story 2,1999,https://www.omdbapi.com/?apikey=437defe6&t=Toy+Story+2&y=1999,https://m.media-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
35,2791,Airplane!,1980,https://www.omdbapi.com/?apikey=437defe6&t=Airplane%21&y=1980,https://m.media-amazon.com/images/M/MV5BZjA3YjdhMWEtYjc2Ni00YzVlLWI0MTUtMGZmNTJjNmU0Yzk2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
36,2321,Pleasantville,1998,https://www.omdbapi.com/?apikey=437defe6&t=Pleasantville&y=1998,https://m.media-amazon.com/images/M/MV5BYTRlYzk4NDktODE3Ni00YjFkLWFjYmUtNjg1MzdmYmFmOTJkXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
37,1029,Dumbo,1941,https://www.omdbapi.com/?apikey=437defe6&t=Dumbo&y=1941,https://m.media-amazon.com/images/M/MV5BNWVmNWQ2OTQtNzJlNC00ZmQwLTg4ZTktZTNmM2IxZTlkOGM3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
38,1197,The Princess Bride,1987,https://www.omdbapi.com/?apikey=437defe6&t=The+Princess+Bride&y=1987,https://m.media-amazon.com/images/M/MV5BMGM4M2Q5N2MtNThkZS00NTc1LTk1NTItNWEyZjJjNDRmNDk5XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg
39,594,Snow White and the Seven Dwarfs,1937,https://www.omdbapi.com/?apikey=437defe6&t=Snow+White+and+the+Seven+Dwarfs&y=1937,https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_SX300.jpg
40,2398,Miracle on 34th Street,1947,https://www.omdbapi.com/?apikey=437defe6&t=Miracle+on+34th+Street&y=1947,https://m.media-amazon.com/images/M/MV5BNjRkOGEwYTUtY2E5Yy00ODg4LTk2ZWItY2IyMzUxOGVhMTM1XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg
41,1545,Ponette,1996,https://www.omdbapi.com/?apikey=437defe6&t=Ponette&y=1996,https://m.media-amazon.com/images/M/MV5BMTQ4NDgzOTI4N15BMl5BanBnXkFtZTcwMDU4NDAyMQ@@._V1_SX300.jpg
42,527,Schindler's List,1993,https://www.omdbapi.com/?apikey=437defe6&t=Schindler%27s+List&y=1993,https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
43,595,Beauty and the Beast,1991,https://www.omdbapi.com/?apikey=437defe6&t=Beauty+and+the+Beast&y=1991,https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
44,2687,Tarzan,1999,https://www.omdbapi.com/?apikey=437defe6&t=Tarzan&y=1999,https://m.media-amazon.com/images/M/MV5BY2ZiYWUxN2ItYmQxZi00NDlkLWE2NDAtOTNmYTg1MDI0NDk1XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
45,745,A Close Shave,1995,https://www.omdbapi.com/?apikey=437defe6&t=A+Close+Shave&y=1995,https://m.media-amazon.com/images/M/MV5BNzliZjhkODctMGJjOS00YWQ3LWEzMjgtYmZjNzMwMDYwYWNjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
46,588,Aladdin,1992,https://www.omdbapi.com/?apikey=437defe6&t=Aladdin&y=1992,https://m.media-amazon.com/images/M/MV5BY2Q2NDI1MjUtM2Q5ZS00MTFlLWJiYWEtNTZmNjQ3OGJkZDgxXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
47,1,Toy Story,1995,https://www.omdbapi.com/?apikey=437defe6&t=Toy+Story&y=1995,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg
48,2355,A Bug's Life,1998,https://www.omdbapi.com/?apikey=437defe6&t=A+Bug%27s+Life&y=1998,https://m.media-amazon.com/images/M/MV5BNThmZGY4NzgtMTM4OC00NzNkLWEwNmEtMjdhMGY5YTc1NDE4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
49,2294,Antz,1998,https://www.omdbapi.com/?apikey=437defe6&t=Antz&y=1998,https://m.media-amazon.com/images/M/MV5BMzMzMDdlMDktODg4OC00Y2E5LTk1ZjMtNzM2MzIxZGQ0ZGI3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
50,783,The Hunchback of Notre Dame,1996,https://www.omdbapi.com/?apikey=437defe6&t=The+Hunchback+of+Notre+Dame&y=1996,https://m.media-amazon.com/images/M/MV5BNzMxMDc4OGItODBiZi00NjYyLThiMzctMzQwZjgzYWE0MzQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg
51,1566,Hercules,1997,https://www.omdbapi.com/?apikey=437defe6&t=Hercules&y=1997,https://m.media-amazon.com/images/M/MV5BZDcwYjEyNWItMGI1Mi00MjI1LWIyMDEtMTQ4YjhkNjM4NDU3XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg
52,1907,Mulan,1998,https://www.omdbapi.com/?apikey=437defe6&t=Mulan&y=1998,https://m.media-amazon.com/images/M/MV5BODkxNGQ1NWYtNzg0Ny00Yjg3LThmZTItMjE2YjhmZTQ0ODY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
53,48,Pocahontas,1995,https://www.omdbapi.com/?apikey=437defe6&t=Pocahontas&y=1995,https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg
54,1198,Raiders of the Lost Ark,1981,https://www.omdbapi.com/?apikey=437defe6&t=Raiders+of+the+Lost+Ark&y=1981,https://m.media-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_SX300.jpg
55,1210,Star Wars: Episode VI - Return of the Jedi,1983,https://www.omdbapi.com/?apikey=437defe6&t=Star+Wars%3A+Episode+VI+-+Return+of+the+Jedi&y=1983,https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
56,1217,Ran,1985,https://www.omdbapi.com/?apikey=437defe6&t=Ran&y=1985,https://m.media-amazon.com/images/M/MV5BZDBjZTM4ZmEtOTA5ZC00NTQzLTkyNzYtMmUxNGU2YjI5YjU5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
57,2717,Ghostbusters II,1989,https://www.omdbapi.com/?apikey=437defe6&t=Ghostbusters+II&y=1989,https://m.media-amazon.com/images/M/MV5BMTQ2NTk4MjE5Ml5BMl5BanBnXkFtZTgwODIwNjYxMTE@._V1_SX300.jpg
58,1293,Gandhi,1982,https://www.omdbapi.com/?apikey=437defe6&t=Gandhi&y=1982,https://m.media-amazon.com/images/M/MV5BMzJiZDRmOWUtYjE2MS00Mjc1LTg1ZDYtNTQxYWJkZTg1OTM4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
59,2943,Indochine,1992,https://www.omdbapi.com/?apikey=437defe6&t=Indochine&y=1992,https://m.media-amazon.com/images/M/MV5BZWJiNjFmOGYtMWY4ZC00MGUxLTgzOTUtNGJjNWQzNGZlZDc0XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
60,1225,Amadeus,1984,https://www.omdbapi.com/?apikey=437defe6&t=Amadeus&y=1984,https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg
61,318,The Shawshank Redemption,1994,https://www.omdbapi.com/?apikey=437defe6&t=The+Shawshank+Redemption&y=1994,https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
62,3030,Yojimbo,1961,https://www.omdbapi.com/?apikey=437defe6&t=Yojimbo&y=1961,https://m.media-amazon.com/images/M/MV5BZThiZjAzZjgtNDU3MC00YThhLThjYWUtZGRkYjc2ZWZlOTVjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
63,2858,American Beauty,1999,https://www.omdbapi.com/?apikey=437defe6&t=American+Beauty&y=1999,https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
64,1213,GoodFellas,1990,https://www.omdbapi.com/?apikey=437defe6&t=GoodFellas&y=1990,https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
65,1945,On the Waterfront,1954,https://www.omdbapi.com/?apikey=437defe6&t=On+the+Waterfront&y=1954,https://m.media-amazon.com/images/M/MV5BY2I0MWFiZDMtNWQyYy00Njk5LTk3MDktZjZjNTNmZmVkYjkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
66,593,The Silence of the Lambs,1991,https://www.omdbapi.com/?apikey=437defe6&t=The+Silence+of+the+Lambs&y=1991,https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
67,3095,The Grapes of Wrath,1940,https://www.omdbapi.com/?apikey=437defe6&t=The+Grapes+of+Wrath&y=1940,https://m.media-amazon.com/images/M/MV5BNzJiOGI2MjctYjUyMS00ZjkzLWE2ZmUtOTg4NTZkOTNhZDc1L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
68,3468,The Hustler,1961,https://www.omdbapi.com/?apikey=437defe6&t=The+Hustler&y=1961,https://m.media-amazon.com/images/M/MV5BNjhjODI2NTItMGE1ZS00NThiLWE1MmYtOWE3YzcyNzY1MTJlXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg
69,1873,Les Misérables,1998,https://www.omdbapi.com/?apikey=437defe6&t=Les+Mis%C3%A9rables&y=1998,https://m.media-amazon.com/images/M/MV5BNjg0NTRjNmUtYzdjYi00YTQ5LTgxNGItMTRhNWYwYzBkOTliXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
70,515,The Remains of the Day,1993,https://www.omdbapi.com/?apikey=437defe6&t=The+Remains+of+the+Day&y=1993,https://m.media-amazon.com/images/M/MV5BNDYwOThlMDAtYWUwMS00MjY5LTliMGUtZWFiYTA5MjYwZDAyXkEyXkFqcGdeQXVyNjY1NTQ0NDg@._V1_SX300.jpg
71,1090,Platoon,1986,https://www.omdbapi.com/?apikey=437defe6&t=Platoon&y=1986,https://m.media-amazon.com/images/M/MV5BM2Y1NTQyNWYtNDViNy00ZWRhLTk3MTMtOTI3ZGQ5MDFiNWM4XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
